Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2018-10-16,249.46532636869077,253.27134212635124,248.98732088953383,252.8925323486328,118255800,16,1,42,10,2018
2018-10-17,252.9286095296464,253.56895024405057,250.33113547420896,252.9376373291016,110626000,17,2,42,10,2018
2018-10-18,251.9905940541533,252.5948785400778,247.99518778925824,249.28489685058597,134557500,18,3,42,10,2018
2018-10-19,249.9433186089224,251.9004243727622,248.44616270050307,249.14964294433597,139901600,19,4,42,10,2018
2018-10-22,249.8260355513516,250.150705996252,247.49012032684712,248.03126525878903,82415800,22,0,43,10,2018
2018-10-23,244.36958818025127,247.90501747078977,242.2591199269238,246.76861572265625,146352700,23,1,43,10,2018
2018-10-24,246.5160630199217,246.9039005417524,238.73269709231255,239.2918701171875,177806700,24,2,43,10,2018
2018-10-25,241.1497888157708,245.14519527366303,240.112610342391,243.58489990234372,138061500,25,3,43,10,2018
2018-10-26,239.8329563144588,244.41459040043668,236.5590590576905,239.30081176757807,201574600,26,4,43,10,2018
2018-10-29,242.43048168065755,243.73824646398103,234.35850076346225,237.97509765625,160749100,29,0,44,10,2018
2018-10-30,237.8037313266204,241.81716552920605,237.30767034173385,241.50149536132807,157116000,30,1,44,10,2018
2018-10-31,244.0990064685136,246.42592175580347,243.6210010062065,244.0809783935547,128296300,31,2,44,10,2018
2018-11-01,244.95577535864163,246.87682464384736,243.85545747116,246.67840576171875,99495000,1,3,44,11,2018
2018-11-02,247.79674884659747,248.22967027270397,243.1429467301016,245.2173309326172,122634100,2,4,44,11,2018
2018-11-05,245.71342095408744,247.1294093078525,244.7303541261236,246.5702362060547,65622500,5,0,45,11,2018
2018-11-06,246.5070553632837,248.29279787004947,246.4439158239724,248.1304626464844,60085900,6,1,45,11,2018
2018-11-07,250.3311249230664,253.5238556086202,249.89820342414765,253.44268798828125,102752100,7,2,45,11,2018
2018-11-08,252.63097314935,253.63209557945635,251.8282971691121,252.98272705078125,65584900,8,3,45,11,2018
2018-11-09,251.65693774303736,251.8463288721932,249.0865194665172,250.51153564453125,98812600,9,4,45,11,2018
2018-11-12,249.9973810765548,250.2408838931893,245.30749535963136,245.8306121826172,99673600,12,0,46,11,2018
2018-11-13,246.2995448915002,248.3197894361057,244.6400543693217,245.3705902099609,98176600,13,1,46,11,2018
2018-11-14,247.2645810387551,247.67041898897216,242.11474654059523,243.6930694580078,125335900,14,2,46,11,2018
2018-11-15,242.41245238410792,246.70550114479693,240.81610079751,246.2364959716797,135101400,15,3,46,11,2018
2018-11-16,245.12719018890232,247.79680410241943,244.604073241903,246.8768768310547,126668000,16,4,46,11,2018
2018-11-19,246.26353468389928,246.5611767959093,241.7720948460736,242.7010498046875,103061700,19,0,47,11,2018
2018-11-20,239.32791018359643,240.80703778439516,237.3347210606519,238.2095642089844,136021300,20,1,47,11,2018
2018-11-21,239.77890855490224,240.94236623176488,239.0123162524732,239.0213165283203,75563700,21,2,47,11,2018
2018-11-23,237.36180247284707,238.8409302328153,237.26260678161287,237.4249420166016,42807900,23,4,47,11,2018
2018-11-26,239.70675846160364,241.48350091381607,239.3099206279476,241.25802612304688,79981400,26,0,48,11,2018
2018-11-27,240.21176200377687,242.06967163085935,239.59847732612803,242.06967163085935,75502400,27,1,48,11,2018
2018-11-28,243.15200788054304,247.64344787597656,242.0065783846981,247.64344787597656,127629600,28,2,48,11,2018
2018-11-29,246.8587493358725,248.5182400703524,245.70431980215736,247.10227966308597,82346400,29,3,48,11,2018
2018-11-30,246.94901404874992,249.17670614031172,246.62434355303023,248.60850524902344,98204200,30,4,48,11,2018
2018-12-03,252.78427690425477,252.8925003917044,250.2860263230381,251.90040588378903,103176300,3,0,49,12,2018
2018-12-04,251.06162043844216,251.49454186736648,243.4225348010332,243.7382049560547,177986000,4,1,49,12,2018
2018-12-06,239.83306997205983,243.4857510667117,236.6944505517717,243.36849975585935,204185400,6,3,49,12,2018
2018-12-07,243.02574921308695,244.6131006028189,236.8657898258809,237.7135772705078,161018900,7,4,49,12,2018
2018-12-10,237.53314939891476,239.1475564118969,233.2491288933032,238.16448974609372,151445900,10,0,50,12,2018
2018-12-11,241.40236176752143,241.59175290745,236.73053015740672,238.2186584472656,121504400,11,1,50,12,2018
2018-12-12,241.23100878805656,242.61091362706588,239.33701473825604,239.41818237304688,97976700,12,2,50,12,2018
2018-12-13,240.3741842741812,241.2490276697342,238.20963152425276,239.3370056152344,96662700,13,3,50,12,2018
2018-12-14,237.163337348886,238.12837581954935,234.3584448593427,234.9176177978516,116961100,14,4,50,12,2018
2018-12-17,233.9526418527149,235.0800158280304,228.658498068438,230.30897521972656,165492300,17,0,51,12,2018
2018-12-18,231.9684163195048,232.6448405185036,228.43296039561164,230.05638122558597,134515100,18,1,51,12,2018
2018-12-19,230.1375890211936,233.95261831653127,224.88854347637343,226.6111602783203,214992800,19,2,51,12,2018
2018-12-20,225.34848909940763,226.93582641618465,220.64958916224376,222.92237854003903,252053400,20,3,51,12,2018
2018-12-21,223.8341019896797,226.5283856135113,217.70165211676252,218.3548126220703,255345600,21,4,51,12,2018
2018-12-24,216.8489277592949,218.48182912601268,212.52175644030888,212.5852508544922,147311600,24,0,52,12,2018
2018-12-26,214.06391020186163,223.32606506347656,212.05906773758457,223.32606506347656,218485400,26,2,52,12,2018
2018-12-27,220.05126685033105,225.24024372001853,216.77639698327215,225.04067993164065,186267300,27,3,52,12,2018
2018-12-28,226.41045083301225,228.06148545527088,223.57101733903056,224.75033569335935,153100200,28,4,52,12,2018
2018-12-31,226.3923223065692,226.96384125944505,224.496348876628,226.71890258789065,144299400,31,0,1,12,2018
2019-01-02,223.1446786903584,227.88916662174256,223.11746481897225,226.95477294921875,126925200,2,2,1,1,2019
2019-01-03,225.18578308646187,225.4942300065546,221.04910887795336,221.5389862060547,144140700,3,3,1,1,2019
2019-01-04,224.6051658192305,229.61272465956,224.22415786343652,228.9595642089844,142628800,4,4,1,1,2019
2019-01-07,229.2317191866026,232.1890745948925,228.3245534223387,230.76483154296875,103139100,7,0,2,1,2019
2019-01-08,232.978343043397,233.42284545620169,230.42012867134727,232.93296813964844,102512600,8,1,2,1,2019
2019-01-09,233.64961937176813,234.87429872891184,232.4068066651901,234.0215606689453,95006600,9,2,2,1,2019
2019-01-10,232.4703518670419,235.1011275473542,231.78089689590212,234.8471221923828,96823900,10,3,2,1,2019
2019-01-11,233.7585337722994,234.96508008420167,233.1688813952353,234.9378662109375,73858100,11,4,2,1,2019
2019-01-14,233.014608769482,234.32092981848507,232.6064007444841,233.5044860839844,70908200,14,0,3,1,2019
2019-01-15,233.8854899513944,236.49813184862288,233.8764094344795,236.1806182861328,85208300,15,1,3,1,2019
2019-01-16,236.61608496534467,237.6502674474332,236.4074545128064,236.75218200683597,77636700,16,2,3,1,2019
2019-01-17,235.87226228388653,239.4192849933251,235.82688736899405,238.5483856201172,96118400,17,3,3,1,2019
2019-01-18,240.38083136872143,242.19516317793196,238.58463291118076,241.72341918945312,127900300,18,4,3,1,2019
2019-01-22,240.23570689537948,240.4534178764553,236.82475387447516,238.4576416015625,115531200,22,1,4,1,2019
2019-01-23,239.50087856424344,240.20846686018143,236.4618672566804,238.95657348632807,86030300,23,2,4,1,2019
2019-01-24,238.7750935729564,239.67320650696757,237.74999182761664,239.08352661132807,59204100,24,3,4,1,2019
2019-01-25,240.95232173963,241.9411569343464,239.18336484291692,241.10655212402344,96883400,25,4,4,1,2019
